"datetime","observation","variable"
2016-12-02,2.3363,"PHY_tchla_1.6"
2017-03-12,2.4895,"PHY_tchla_1.6"
2017-03-26,3.3951,"PHY_tchla_1.6"
2017-04-09,1.944,"PHY_tchla_1.6"
2017-04-16,2.2481,"PHY_tchla_1.6"
2017-04-23,2.3423,"PHY_tchla_1.6"
2017-04-30,1.1954,"PHY_tchla_1.6"
2017-05-04,1.3347,"PHY_tchla_1.6"
2017-05-07,1.7353,"PHY_tchla_1.6"
2017-05-09,3.3513,"PHY_tchla_1.6"
2017-05-14,1.3344,"PHY_tchla_1.6"
2018-04-20,1.5559,"PHY_tchla_1.6"
2018-04-23,1.7897,"PHY_tchla_1.6"
2018-04-30,0.5298,"PHY_tchla_1.6"
2018-05-04,0.8492,"PHY_tchla_1.6"
2018-05-07,1.1801,"PHY_tchla_1.6"
2018-05-11,1.3136,"PHY_tchla_1.6"
2018-05-14,1.327,"PHY_tchla_1.6"
2018-05-17,2.8144,"PHY_tchla_1.6"
2018-05-21,2.871,"PHY_tchla_1.6"
2018-05-28,5.3781,"PHY_tchla_1.6"
2018-05-30,4.5653,"PHY_tchla_1.6"
2018-05-31,3.6009,"PHY_tchla_1.6"
2018-06-04,1.7252,"PHY_tchla_1.6"
2018-06-07,1.5486,"PHY_tchla_1.6"
2018-06-11,1.7277,"PHY_tchla_1.6"
2018-06-14,4.3616,"PHY_tchla_1.6"
2018-06-18,2.038,"PHY_tchla_1.6"
2018-06-21,2.7861,"PHY_tchla_1.6"
2018-06-25,2.9964,"PHY_tchla_1.6"
2018-06-28,4.2903,"PHY_tchla_1.6"
2018-07-02,3.0853,"PHY_tchla_1.6"
2018-07-05,4.2863,"PHY_tchla_1.6"
2018-07-09,3.0611,"PHY_tchla_1.6"
2018-07-16,4.4116,"PHY_tchla_1.6"
2018-07-19,3.6393,"PHY_tchla_1.6"
2018-07-23,6.7697,"PHY_tchla_1.6"
2018-07-26,5.1269,"PHY_tchla_1.6"
2018-08-02,3.1622,"PHY_tchla_1.6"
2018-08-06,2.2727,"PHY_tchla_1.6"
2018-08-09,5.4509,"PHY_tchla_1.6"
2018-08-10,5.8714,"PHY_tchla_1.6"
2018-08-14,5.8376,"PHY_tchla_1.6"
2018-08-16,3.8941,"PHY_tchla_1.6"
2018-08-20,4.4197,"PHY_tchla_1.6"
2018-08-24,6.5912,"PHY_tchla_1.6"
2018-08-27,5.6733,"PHY_tchla_1.6"
2018-09-03,4.1029,"PHY_tchla_1.6"
2018-09-07,3.3527,"PHY_tchla_1.6"
2018-09-10,5.3781,"PHY_tchla_1.6"
2018-09-12,4.9635,"PHY_tchla_1.6"
2018-09-17,4.3864,"PHY_tchla_1.6"
2018-09-21,4.7877,"PHY_tchla_1.6"
2018-09-24,4.5693,"PHY_tchla_1.6"
2018-10-01,3.7525,"PHY_tchla_1.6"
2018-10-05,6.664,"PHY_tchla_1.6"
2018-10-08,4.533,"PHY_tchla_1.6"
2018-10-15,1.5851,"PHY_tchla_1.6"
2018-10-19,1.48,"PHY_tchla_1.6"
2018-10-22,2.4464,"PHY_tchla_1.6"
2018-10-29,2.1229,"PHY_tchla_1.6"
2018-11-02,1.6479,"PHY_tchla_1.6"
2018-11-07,1.8893,"PHY_tchla_1.6"
2018-11-13,1.6405,"PHY_tchla_1.6"
2018-11-19,1.5136,"PHY_tchla_1.6"
2018-12-06,3.5706,"PHY_tchla_1.6"
2018-12-17,3.1743,"PHY_tchla_1.6"
2019-02-08,1.5378,"PHY_tchla_1.6"
2019-06-03,1.4767,"PHY_tchla_1.6"
2019-06-06,1.8239,"PHY_tchla_1.6"
2019-06-10,2.1062,"PHY_tchla_1.6"
2019-06-13,2.3854,"PHY_tchla_1.6"
2019-06-17,1.7169,"PHY_tchla_1.6"
2019-06-20,3.7666,"PHY_tchla_1.6"
2019-06-24,2.1668,"PHY_tchla_1.6"
2019-06-27,2.5141,"PHY_tchla_1.6"
2019-07-01,3.5363,"PHY_tchla_1.6"
2019-07-03,2.6811,"PHY_tchla_1.6"
2019-07-08,3.2659,"PHY_tchla_1.6"
2019-07-15,6.1003,"PHY_tchla_1.6"
2019-07-18,8.9775,"PHY_tchla_1.6"
2019-07-22,13.7946,"PHY_tchla_1.6"
2019-07-29,16.5218,"PHY_tchla_1.6"
2019-08-01,12.4913,"PHY_tchla_1.6"
2019-08-05,8.4811,"PHY_tchla_1.6"
2019-08-08,4.4389,"PHY_tchla_1.6"
2019-08-12,5.8669,"PHY_tchla_1.6"
2019-08-14,7.2667,"PHY_tchla_1.6"
2019-08-15,8.5202,"PHY_tchla_1.6"
2019-08-19,3.8733,"PHY_tchla_1.6"
2019-08-22,4.5197,"PHY_tchla_1.6"
2019-08-28,3.7408,"PHY_tchla_1.6"
2019-09-02,2.7605,"PHY_tchla_1.6"
2019-09-04,2.1577,"PHY_tchla_1.6"
2019-09-11,1.7535,"PHY_tchla_1.6"
2019-09-20,2.7778,"PHY_tchla_1.6"
2019-09-27,2.7019,"PHY_tchla_1.6"
2019-10-02,1.2873,"PHY_tchla_1.6"
2019-10-04,1.4089,"PHY_tchla_1.6"
2019-10-11,2.9117,"PHY_tchla_1.6"
2019-10-22,2.5809,"PHY_tchla_1.6"
2019-10-23,2.8092,"PHY_tchla_1.6"
2019-10-25,3.3051,"PHY_tchla_1.6"
2019-10-28,3.276,"PHY_tchla_1.6"
2019-10-30,5.0304,"PHY_tchla_1.6"
2019-11-04,2.0437,"PHY_tchla_1.6"
2019-11-08,3.0033,"PHY_tchla_1.6"
2019-11-20,3.2888,"PHY_tchla_1.6"
2019-12-06,3.6944,"PHY_tchla_1.6"
2020-06-18,8.1135,"PHY_tchla_1.6"
2020-06-22,6.1578,"PHY_tchla_1.6"
2020-06-25,2.3869,"PHY_tchla_1.6"
2020-06-28,3.9273,"PHY_tchla_1.6"
2020-06-29,2.3567,"PHY_tchla_1.6"
2020-07-02,1.8642,"PHY_tchla_1.6"
2020-07-06,1.9678,"PHY_tchla_1.6"
2020-07-09,2.9571,"PHY_tchla_1.6"
2020-07-13,1.8743,"PHY_tchla_1.6"
2020-07-17,2.1655,"PHY_tchla_1.6"
2020-07-20,4.0959,"PHY_tchla_1.6"
2020-07-23,1.8386,"PHY_tchla_1.6"
2020-07-27,1.9829,"PHY_tchla_1.6"
2020-07-30,2.0705,"PHY_tchla_1.6"
2020-08-03,0.7874,"PHY_tchla_1.6"
2020-08-06,4.7748,"PHY_tchla_1.6"
2020-08-10,3.0975,"PHY_tchla_1.6"
2020-08-17,3.4193,"PHY_tchla_1.6"
2020-08-24,3.8411,"PHY_tchla_1.6"
2020-09-02,3.0631,"PHY_tchla_1.6"
2020-09-03,5.068,"PHY_tchla_1.6"
2020-09-09,7.5512,"PHY_tchla_1.6"
2020-09-11,5.2034,"PHY_tchla_1.6"
2020-09-15,6.9529,"PHY_tchla_1.6"
2020-09-21,3.6726,"PHY_tchla_1.6"
2020-09-25,4.3193,"PHY_tchla_1.6"
2020-09-30,2.4621,"PHY_tchla_1.6"
2020-10-04,2.6164,"PHY_tchla_1.6"
2020-10-06,2.2304,"PHY_tchla_1.6"
2020-10-13,5.1215,"PHY_tchla_1.6"
2020-10-16,3.839,"PHY_tchla_1.6"
2020-10-17,3.2802,"PHY_tchla_1.6"
2020-10-19,3.3286,"PHY_tchla_1.6"
2020-10-28,10.8245,"PHY_tchla_1.6"
2020-11-02,3.793,"PHY_tchla_1.6"
2020-11-04,5.8056,"PHY_tchla_1.6"
2020-11-09,9.272,"PHY_tchla_1.6"
2020-12-14,2.6606,"PHY_tchla_1.6"
